Gender,Year,Title,Total
F,2016-17,Professor,7
F,2016-17,Assoc Prof,10
F,2016-17,Asst Prof,115
M,2016-17,Professor,16
M,2016-17,Assoc Prof,21
M,2016-17,Asst Prof,99
F,2015-16,Professor,7
F,2015-16,Assoc Prof,7
F,2015-16,Asst Prof,120
M,2015-16,Professor,17
M,2015-16,Assoc Prof,21
M,2015-16,Asst Prof,122
F,2014-15,Professor,10
F,2014-15,Assoc Prof,16
F,2014-15,Asst Prof,129
M,2014-15,Professor,19
M,2014-15,Assoc Prof,21
M,2014-15,Asst Prof,102
F,2013-14,Professor,5
F,2013-14,Assoc Prof,15
F,2013-14,Asst Prof,114
M,2013-14,Professor,26
M,2013-14,Assoc Prof,30
M,2013-14,Asst Prof,98
F,2012-13,Professor,3
F,2012-13,Assoc Prof,17
F,2012-13,Asst Prof,86
M,2012-13,Professor,18
M,2012-13,Assoc Prof,13
M,2012-13,Asst Prof,106
F,2011-12,Professor,3
F,2011-12,Assoc Prof,8
F,2011-12,Asst Prof,79
M,2011-12,Professor,14
M,2011-12,Assoc Prof,14
M,2011-12,Asst Prof,88
F,2010-11,Professor,7
F,2010-11,Assoc Prof,14
F,2010-11,Asst Prof,75
M,2010-11,Professor,19
M,2010-11,Assoc Prof,15
M,2010-11,Asst Prof,103
F,2009-10,Professor,9
F,2009-10,Assoc Prof,14
F,2009-10,Asst Prof,73
M,2009-10,Professor,18
M,2009-10,Assoc Prof,13
M,2009-10,Asst Prof,87
F,2008-09,Professor,9
F,2008-09,Assoc Prof,10
F,2008-09,Asst Prof,104
M,2008-09,Professor,31
M,2008-09,Assoc Prof,14
M,2008-09,Asst Prof,117
F,2007-08,Professor,5
F,2007-08,Assoc Prof,14
F,2007-08,Asst Prof,83
M,2007-08,Professor,16
M,2007-08,Assoc Prof,19
M,2007-08,Asst Prof,112
